genero,nome,data_nascimento,presença_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,salario_bruto_par,quant_viagem,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,gasto_total_gab
M,RONALDO CARLETTO,05/01/1960,88,4,0,5,3,16,"33.763,00",0,"276.954,35","39.853,86","37.423,24","50.559,78","35.321,41","45.779,44","16.673,29","17.006,88","22.617,74","7.609,31","2.915,68","1.193,72",0,111586.93,111586.93,111586.93,111586.93,111586.93,111586.93,111586.93,111586.93,111586.93,108778.61,0,0,1113060.9799999997
M,RODRIGO COELHO,29/06/1980,92,0,0,81,5,4,"33.763,00",1,"119.207,06","12.678,98","21.407,72","28.457,50","13.620,70","25.418,03","7.973,08","3.227,19","8,21","1,82","6.413,83",0,0,109154.71,111314.4,111501.02,111586.72,111586.72,110156.87,109978.97,109732.04,111665.67,111274.68,0,0,1107951.8
M,RUBENS BUENO,23/05/1948,91,0,1,65,0,6,"33.763,00",0,"272.063,57","8.067,94","32.116,20","31.184,36","37.095,34","57.749,32","33.151,06","34.635,51","8.556,44","14.706,88","7.256,76","7.543,76",0,111253.23,111253.23,106987.97,108825.69,110646.65,110646.65,110646.65,109798.8,106891.9,108742.17,0,0,1095692.9400000002
M,VALDIR LUIZ ROSSONI,23/11/1952,42,6,13,0,0,1,"33.763,00",0,"175.496,02","38.434,25","41.023,76","24.376,55","39.059,07","29.171,19","2.729,46","701,74",0,0,0,0,0,104548.41,95995.0,105599.4,106533.93,111453.14,111617.11,111593.8,111416.9,111416.9,111416.9,0,0,1081591.49
M,RONALDO MANCHADO MARTINS,21/01/1978,11,0,4,0,0,0,"33.763,00",0,"124.053,44","33.317,39","30.426,34","21.309,71","39.000,00",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
M,RUBENS OTONI GOMIDE,06/02/1956,75,5,12,11,2,19,"33.763,00",0,"307.709,08","32.770,27","38.194,47","41.561,05","46.402,99","41.744,76","29.613,60","32.364,01","12.903,41","6.861,72","25.089,30","203,50",0,111544.41,111544.41,111544.41,111544.41,111501.56,111004.56,111429.17,111429.17,111429.17,110577.02,0,0,1113548.29
M,RUBENS PEREIRA E SILVA JUNIOR,18/03/1984,92,0,0,35,0,16,"33.763,00",0,"379.416,30","33.232,76","43.788,65","49.953,73","46.779,13","45.113,71","44.355,44","12.257,09","27.387,79","27.391,12","28.973,90","20.182,98",0,111380.59,110819.94,111380.59,111365.22,111194.31,111380.59,111099.21,111380.59,111393.12,111568.58,0,0,1112962.7399999998
M,SAMUEL MOREIRA DA SILVA JUNIOR,09/02/1963,88,4,0,45,3,2,"33.763,00",0,"287.354,50","18.924,07","25.557,73","40.933,34","50.610,63","38.706,58","35.099,02","21.805,45","22.925,53","9.773,25","22.973,66","45,24",0,110903.38,104766.87,107428.02,108475.26,109925.19,106920.4,110435.32,105277.21,100395.58,106769.35,0,0,1071296.5799999998
M,UBIRATAN ANTUNES SANDERSON,01/12/1969,89,1,2,61,0,17,"33.763,00",0,"388.991,27","37.912,59","41.503,33","58.317,25","35.943,44","48.706,99","42.505,85","39.027,03","29.437,05","28.130,75","26.343,91","1.163,08",0,107480.38,107480.38,109483.26,111119.86,111119.86,110913.82,107219.92,111653.64,111653.64,111653.64,0,0,1099778.4000000001
M,RUI GOETHE DA COSTA FALCÃO,26/11/1943,87,0,5,46,0,9,"33.763,00",0,"311.086,65","34.561,93","52.337,32","42.161,06","44.047,45","41.707,80","30.798,56","25.457,29","16.247,47","11.762,34","11.692,70","312,73",0,111162.3,111162.3,111162.3,111162.3,110682.51,111162.3,111162.3,111162.3,111162.3,111162.3,0,0,1111143.2100000002
