genero,nome,data_nascimento,presença_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,salario_bruto_par,quant_viagem,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,gasto_total_gab
F,JESSICA ROJAS SALES,28/11/1980,42,45,5,0,16,2,"33.763,00",0,"372.946,86","36.557,22","42.553,73","47.072,55","56.770,07","58.428,19","3.133,62","11.486,12","8.024,13","2.921,23","106.000,00",0,0,111568.56,111568.56,111568.56,111568.56,111568.56,111568.56,111568.56,111571.11,111647.46,111647.46,0,0,1115845.9500000002
F,DIRLAINE JAQUELINE CASSOL,03/12/1974,81,8,3,47,8,15,"33.763,00",0,"301.704,59","38.881,19","35.836,11","33.841,17","57.249,08","71.115,17","20.997,72","21.444,70","11.534,22","2.240,92","7.424,00","1.140,31",0,111665.59,111362.29,107986.55,110884.32,111208.12,110180.25,108177.15,110472.02,111321.85,108397.68,0,0,1101655.82
F,JOENIA BATISTA DE CARVALHO,20/04/1973,83,9,0,98,12,15,"33.763,00",1,"407.650,81","36.130,43","59.868,30","85.352,21","48.106,28","35.824,32","43.428,93","39.248,21","28.261,77","13.771,27","16.656,80","1.002,29",0,91545.36,93767.62,92129.06,80310.66,79164.66,97275.18,102548.82,99850.5,95697.66,96608.8,0,0,928898.3200000002
F,LEANDRE DAL PONTE,20/12/1975,80,10,2,31,4,23,"33.763,00",1,"364.015,44","30.663,14","49.384,33","39.707,22","42.738,34","55.109,67","32.174,71","34.082,73","28.823,07","17.999,54","31.319,22","2.013,47",0,108159.67,108159.67,109633.48,109791.39,109791.39,110801.97,109549.18,111428.41,111307.87,111307.87,0,0,1099930.9
F,LAURIETE RODRIGUES DE JESUS,23/02/1970,89,3,0,48,2,2,"33.763,00",0,"275.072,63","28.596,39","36.787,02","28.706,65","38.112,66","49.288,05","30.104,05","18.543,11","15.764,41","15.009,24","7.961,74","6.199,31",0,104287.85,105889.29,107644.06,107644.06,107976.91,100506.22,110346.11,111471.61,111471.61,111471.61,0,0,1078709.33
F,GREYCE DE QUEIROZ ELIAS,15/12/1981,77,12,3,28,4,18,"33.763,00",1,"176.814,93","14.671,44","21.074,80","23.586,32","35.221,54","45.590,67","15.599,72","12.425,68","2.786,62","2.040,22","3.377,12","440,80",0,101294.97,95517.25,104632.97,104398.53,107931.21,110975.7,110129.51,110600.89,111580.83,111573.39,0,0,1068635.25
F,LEDA MARIA SADALA BRITO,11/06/1966,72,18,2,24,8,15,"33.763,00",0,"359.497,14","32.892,40","30.026,99","55.796,31","53.049,21","51.266,85","41.748,71","31.911,86","37.292,55","15.145,93","10.021,33","345,00",0,111429.13,111306.3,109662.6,107931.96,110017.93,110446.45,110633.94,109994.1,111659.63,108861.12,0,0,1101943.1600000001
F,LIZIANE BAYER DA COSTA,24/01/1981,92,0,0,54,1,18,"33.763,00",1,"432.476,73","24.410,68","44.680,51","52.608,27","52.869,92","60.599,67","33.727,59","34.144,01","32.890,25","31.283,06","49.719,23","15.543,54",0,109492.14,104592.92,102932.25,102694.3,104044.41,103593.63,105180.1,107815.81,109597.2,109597.2,0,0,1059539.96
F,LÍDICE DA MATA E SOUZA,12/03/1956,89,3,0,56,4,0,"33.763,00",0,"314.013,21","24.968,53","36.055,08","41.685,69","36.945,93","64.741,89","25.591,94","29.647,64","17.038,04","9.156,67","25.337,58","2.844,22",0,105717.75,109880.24,107918.25,107472.66,111089.52,111089.52,111089.52,111089.52,111089.52,111089.52,0,0,1097526.02
F,LUISA CANZIANI DOS SANTOS SILVEIRA,11/04/1996,82,0,10,18,0,48,"33.763,00",0,"294.512,99","27.680,49","45.240,66","38.296,02","34.716,65","40.742,27","35.801,06","23.760,78","18.969,09","8.973,68","13.325,09","7.007,20",0,111489.76,107944.29,101185.89,106123.31,110764.8,108871.95,100476.78,99154.41,109664.15,110012.04,0,0,1065687.3800000001
F,JOICE CRISTINA HASSELMANN,29/01/1978,87,5,0,57,3,3,"33.763,00",0,"301.731,55","25.636,10","21.173,13","72.944,98","50.332,77","44.859,38","25.702,26","16.939,86","18.265,67","20.711,16","5.166,24",0,0,99430.88,106641.61,98487.95,101062.57,108786.73,110597.86,108539.98,102509.19,97950.82,97950.82,0,0,1031958.4100000001
