genero,nome,data_nascimento,presença_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,salario_bruto_par,quant_viagem,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,gasto_total_gab
F,BENEDITA SOUZA DA SILVA SAMPAIO,26/04/1942,45,47,0,22,18,15,"33.763,00",0,"278.916,75","27.548,63","36.708,62","32.332,80","38.159,47","42.904,22","28.769,87","17.965,43","15.365,95","9.555,15","28.558,54","1.048,07",0,111495.9,111448.24,111228.98,111228.98,111228.98,111354.55,111647.54,111647.54,111647.54,111647.54,0,0,1114575.79
F,VANDA DENIR MILANI NOGUEIRA,17/09/1953,72,13,7,31,11,22,"33.763,00",0,"395.931,24","45.066,55","49.027,62","29.462,19","36.127,46","71.009,98","22.618,07","41.106,51","44.816,37","25.900,00","30.796,49",0,0,109028.91,110980.61,111507.9,109468.16,111544.28,110383.9,111280.73,111580.69,111580.69,106487.76,0,0,1103843.6300000001
F,DANIELA MOTE DE SOUZA CARNEIRO,10/02/1976,80,10,2,42,9,9,"33.763,00",0,"309.318,38","35.968,58","36.604,61","48.540,64","61.049,56","50.236,04","27.308,97","20.808,56","13.155,35","11.253,04","4.366,75","26,28",0,111004.43,110578.75,110970.4,111234.95,111234.95,111234.95,111234.95,110155.05,109870.15,100152.27,0,0,1097670.8499999999
F,CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA,02/07/1982,86,0,6,37,0,14,"33.763,00",0,"297.350,01","7.971,69","16.907,30","54.747,61","49.861,80","57.969,92","53.352,84","20.869,99","15.804,77","9.631,78","10.118,65","113,66",0,110918.38,110319.03,110945.19,111532.21,111532.21,111532.21,111532.21,111532.21,111532.21,111532.21,0,0,1112908.0699999998
F,CHRISTINE NOGUEIRA DOS REIS TONIETTO,14/05/1991,88,2,2,59,4,6,"33.763,00",0,"133.178,31","11.369,60","10.173,11","9.970,30","13.872,46","12.050,51","19.466,91","25.628,43","11.169,95","3.255,31","15.855,62","366,11",0,69040.75,69101.84,69101.84,71632.9,76266.55,85504.27,88597.5,88597.5,88597.5,82910.48,0,0,789351.1299999999
F,ALICE MAZZUCO PORTUGAL,16/05/1959,91,0,1,70,0,28,"33.763,00",0,"380.746,29","64.843,86","35.974,10","45.630,28","30.967,04","44.643,22","33.926,95","26.133,78","37.427,88","27.482,05","33.668,90","48,23",0,109364.13,110762.68,110837.35,110137.04,110137.04,110137.04,110137.04,110131.96,111046.92,111046.92,0,0,1103738.12
F,RENATA HELLMEISTER DE ABREU,15/04/1982,48,14,0,5,10,18,"33.763,00",0,"208.238,76","31.109,86","32.113,25","42.089,94","31.671,65","42.896,72","3.728,86","22.911,39","1.717,09",0,0,0,0,96622.36,104075.25,110440.45,106841.6,108188.68,109718.62,106018.07,110109.96,110476.84,110575.46,0,0,1073067.29
F,DULCE FERREIRA PAGANI MIRANDA,15/12/1963,84,8,0,78,11,8,"33.763,00",0,"385.152,20","17.405,28","54.422,42","66.007,20","43.629,27","48.597,93","16.964,63","42.936,18","44.081,35","12.900,31","38.029,26","178,37",0,111515.73,108469.11,109947.21,108778.45,110497.62,110780.17,110780.17,110780.17,110297.33,110780.17,0,0,1102626.1300000001
F,ROSIANE MODESTO  DE OLIVEIRA,20/02/1978,,,,,,,"33.763,00",0,"202.187,67","16.532,25","28.174,06","22.572,80","28.359,47","28.108,83","26.531,02","14.867,91","6.958,44","8.464,46","18.149,96","3.468,47",0,109718.66,110767.63,111653.67,111653.67,109880.49,109891.34,111617.27,97483.92,90265.59,93489.86,0,0,1056422.1
F,ROSANGELA DE SOUZA GOMES,27/12/1966,77,15,0,2,0,0,"33.763,00",2,"332.169,14","35.619,36","53.038,08","41.099,12","30.910,68","40.356,20","24.832,33","27.594,88","28.932,93","13.329,32","36.267,03","189,21",0,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,0,0,1114958.7
F,ROSANA DE OLIVEIRA VALLE,08/05/1969,87,3,2,44,2,2,"33.763,00",0,"338.573,46","21.183,33","29.131,46","53.484,17","52.840,25","41.134,85","34.551,95","41.195,46","30.834,90","20.867,06","13.125,31","224,72",0,107098.26,107098.26,107098.26,107098.26,100284.96,91133.79,106579.32,107632.04,109901.08,106206.39,0,0,1050130.62
